STI already infecting,HIV increased  susceptibility,lower,upper,Unit,Source
HSV2,2.7,1.5,4.8,RR,Rottingen 2001
Tp,2.5,2.1,3.1,RR,Rottingen 2001
Hd,2.1,1.2,3.4,RR,Rottingen 2001
Ng,2.1,1.7,2.5,RR,Rottingen 2001
Ct,2.2,1.4,3.3,RR,Rottingen 2001
Tv,1.5,1.2,2,RR,Rottingen 2001
HSV2,2.3,1.2,4.5,RR,Sexton 2005
Tp,2.46,1.4,4.4,RR,Sexton 2005
Hd,2.25,1.1,4.8,RR,Sexton 2005
Ng,3.18,1.8,5.5,RR,Sexton 2005
Ct,3,1.5,6,RR,Sexton 2005
Tv,2.1,1.2,3.6,RR,Sexton 2005
HPV,1.96,1.55,2.49,OR,Lissouba 2013
HPV,2.06,1.44,2.94,HR,Houlihan 2012
HSV2,5.6,3.4,9.3,OR,Arora 2012
Ng,1.63,1.15,2.3,OR,Arora 2012
Tp,4.12,2.35,7.25,OR,Arora 2012
Bv,1.6,1.2,2.1,RR,Atashili 2008
